,Country,HS4,Trade Value Relatedness
436,Sudan,Crustaceans,0.0648229767
437,Sudan,Wool,0.0642410939
438,Sudan,Raw Sugar,0.0615071138
439,Sudan,Non-fillet Frozen Fish,0.0608266714
440,Zimbabwe,Manganese Ore,0.1263496006
441,Zimbabwe,Tin Ores,0.1080982307
442,Zimbabwe,Cocoa Beans,0.1076986164
443,Zimbabwe,Coal Briquettes,0.1044406846
444,Zimbabwe,Other Oily Seeds,0.0993847374
445,Zimbabwe,Wool,0.0980619331
446,Zimbabwe,Insect Resins,0.0967470867
447,Zimbabwe,Dried Legumes,0.0944177662
448,Zimbabwe,Pharmaceutical Animal Products,0.0937788553
449,Zimbabwe,Copper Ore,0.0935516561
450,Uganda,Manganese Ore,0.1857311712
451,Uganda,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.1856539279
452,Uganda,Crustaceans,0.16519665
453,Uganda,Other Hides and Skins,0.1647835007
454,Uganda,"Coconuts, Brazil Nuts, and Cashews",0.1630539061
455,Uganda,Other Processed Fruits and Nuts,0.1591499123
456,Uganda,Raw Lead,0.1574121089
457,Uganda,Other Vegetable Products,0.1571140099
458,Uganda,Fruit Juice,0.1556651975
459,Uganda,Coconut Oil,0.155537758
460,Zambia,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.1153130371
461,Zambia,Cocoa Beans,0.113528434
462,Zambia,Tropical Fruits,0.1093230296
463,Zambia,Other Oily Seeds,0.1063232778
464,Zambia,Tin Ores,0.1060329401
465,Zambia,Insect Resins,0.1040481063
466,Zambia,Chromium Ore,0.1016616534
467,Zambia,Crude Petroleum,0.1009770092
468,Zambia,Precious Metal Ore,0.099632293
469,Zambia,Bananas,0.0972423354
470,Tunisia,Packing Bags,0.2449719893
471,Tunisia,Knit Men's Coats,0.2445198075
472,Tunisia,Knitted Hats,0.2347412824
473,Tunisia,Processed Crustaceans,0.234449173
474,Tunisia,Pepper,0.2302624665
475,Tunisia,Plaiting Products,0.2289523233
476,Tunisia,Non-Retail Pure Cotton Yarn,0.2287950902
477,Tunisia,Hats,0.2285254212
478,Tunisia,Basketwork,0.2277136704
479,Tunisia,Tea,0.224987403
480,Angola,Gold,0.0110560449
481,Angola,Cocoa Beans,0.0109094707
482,Angola,Sulphur,0.0107693628
483,Angola,"Niobium, Tantalum, Vanadium and Zirconium Ore",0.0105020381
484,Angola,Chromium Ore,0.0101505724
485,Angola,Other Ores,0.0091876568
486,Angola,Raw Cotton,0.009144173
487,Angola,Scrap Vessels,0.0090931923
488,Angola,Tin Ores,0.0089737667
489,Angola,Maté,0.00879713
